target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
011200.KS,"['028670.KS', '180640.KS', '010060.KS', '009830.KS', '161390.KS']","[0.6082119760564125, 0.5205947970720066, 0.4879468903119692, 0.3883037221937242, 0.33064368129422966]","['192080.KS', '071970.KS', '017960.KS', '010130.KS', '207940.KS']","[-0.3445676413117438, -0.20034564957306203, -0.1876236502005462, -0.17719574537007868, -0.17196357308551247]"
011210.KS,"['005380.KS', '005490.KS', '005385.KS', '005387.KS', '004020.KS']","[0.7013929185785052, 0.6628294354327969, 0.6500258176240645, 0.6168895435666171, 0.5819399882501771]","['010130.KS', '111770.KS', '009450.KS', '103590.KS', '062040.KS']","[-0.0874747259049011, -0.08133555977121883, -0.06702265682420647, -0.04005373553895224, -0.004537565804566978]"
011780.KS,"['011170.KS', '004020.KS', '051910.KS', '383220.KS', '011210.KS']","[0.7270068163708585, 0.6308025466470573, 0.5821572331437739, 0.5651731066414682, 0.5650940172013292]","['009450.KS', '010130.KS', '062040.KS', '329180.KS', '042660.KS']","[-0.2144783550118848, -0.1860648207973194, -0.1477538481434006, -0.1349325802941559, -0.11617365909577246]"
011790.KS,"['042700.KS', '361610.KS', '096770.KS', '000660.KS', '402340.KS']","[0.6232592822881997, 0.5866659669455598, 0.5765446863877899, 0.5483906776834528, 0.5248625533904365]","['294870.KS', '047810.KS', '089860.KS', '000720.KS', '272210.KS']","[-0.17549736876411942, -0.150541426885977, -0.12624540636291354, -0.12016164328668584, -0.1011448404975642]"
012330.KS,"['039490.KS', '086790.KS', '030000.KS', '175330.KS', '011210.KS']","[0.5793366574962427, 0.5307906116816997, 0.5273497348624611, 0.5049879472410405, 0.5048771333721778]","['017960.KS', '111770.KS', '062040.KS', '006260.KS', '042660.KS']","[-0.13501301064646606, -0.10734904762387527, -0.09861867096398189, -0.08231203877063314, -0.07579561801843437]"
012450.KS,"['079550.KS', '047810.KS', '272210.KS', '003570.KS', '011170.KS']","[0.6206383676389596, 0.6031295960553668, 0.5348446170166872, 0.4961834370763206, 0.4420576422968042]","['068270.KS', '073240.KS', '030200.KS', '111770.KS', '035720.KS']","[-0.30794257475612, -0.25515461303572107, -0.21850762567398038, -0.21597109349041016, -0.20797058665864437]"
012510.KS,"['018670.KS', '035420.KS', '009420.KS', '326030.KS', '088980.KS']","[0.46006656850123306, 0.3496180493062443, 0.3430689605388473, 0.34198821916683325, 0.33723977662620264]","['300720.KS', '009450.KS', '138040.KS', '457190.KS', '330590.KS']","[-0.23194811684637456, -0.22221981407847863, -0.21095284502315487, -0.2076910784843406, -0.17020361241312584]"
012630.KS,"['294870.KS', '034230.KS', '006040.KS', '001040.KS', '282330.KS']","[0.558418703386751, 0.4795916519791085, 0.4699354629502737, 0.4671532457443802, 0.38417597074689236]","['051910.KS', '138040.KS', '204320.KS', '373220.KS', '066970.KS']","[-0.2848137805680387, -0.2785923606646456, -0.23117544275087143, -0.20157116680265966, -0.19645092162607786]"
012750.KS,"['001450.KS', '034730.KS', '000270.KS', '402340.KS', '009150.KS']","[0.4889660077264062, 0.4051934719694612, 0.399458166922171, 0.3910861446909138, 0.390161038186648]","['035420.KS', '272210.KS', '089860.KS', '064350.KS', '267270.KS']","[-0.2413961630559999, -0.24060495965817338, -0.19460200575303163, -0.16572732692012648, -0.14166170497307465]"
014680.KS,"['000990.KS', '022100.KS', '011170.KS', '020150.KS', '402340.KS']","[0.675214388485734, 0.6590545406328238, 0.5920406124342926, 0.5910287307742851, 0.5739398610293936]","['207940.KS', '395400.KS', '012510.KS', '259960.KS', '010130.KS']","[-0.18660050594251182, -0.08966149805635389, -0.056149548483088105, -0.046054198518235535, -0.0343240358337102]"
015760.KS,"['375500.KS', '003490.KS', '454910.KS', '016360.KS', '032640.KS']","[0.5586314567476899, 0.48845937940251855, 0.48542272293689886, 0.41812026748813835, 0.400860142266728]","['069620.KS', '010950.KS', '051900.KS', '298020.KS', '042660.KS']","[-0.24297841325521144, -0.2016316373725998, -0.1880421721564414, -0.17016440236381858, -0.15087381253838716]"
016360.KS,"['071050.KS', '039490.KS', '006800.KS', '005940.KS', '086790.KS']","[0.7680760139868196, 0.7622470635104263, 0.7435309234495195, 0.7257833427049424, 0.6994332267250558]","['042660.KS', '011170.KS', '373220.KS', '051910.KS', '012450.KS']","[-0.13306700475299277, -0.10165122939446627, -0.10147835880223077, -0.0898019198331791, -0.08239068289011178]"
017670.KS,"['036570.KS', '052690.KS', '086280.KS', '008930.KS', '018260.KS']","[0.4453783221542867, 0.4176757040970398, 0.35845533986242845, 0.3567056158585956, 0.3561561803955602]","['298020.KS', '009450.KS', '103590.KS', '069620.KS', '352820.KS']","[-0.31048930801719005, -0.2088574257695519, -0.1756118732727977, -0.14729770171487946, -0.14307641242019686]"
017800.KS,"['062040.KS', '088350.KS', '051600.KS', '002790.KS', '012630.KS']","[0.446183222846592, 0.4120847472406685, 0.3886092202115487, 0.38703667041320944, 0.3771285189547606]","['395400.KS', '005490.KS', '005935.KS', '051910.KS', '010060.KS']","[-0.29449368642031665, -0.22265183622933002, -0.20882807405862275, -0.2034892449869695, -0.20119138869622774]"
017960.KS,"['071970.KS', '010620.KS', '009540.KS', '329180.KS', '001040.KS']","[0.49833126701191954, 0.4466658342861947, 0.38236159715954565, 0.37925498008459024, 0.37287690938504214]","['026960.KS', '073240.KS', '021240.KS', '271560.KS', '298020.KS']","[-0.3852550693017522, -0.30180737410278247, -0.26300237679454574, -0.25618401285374565, -0.24302124657816446]"
018260.KS,"['035420.KS', '323410.KS', '039490.KS', '005830.KS', '016360.KS']","[0.703979321973219, 0.5400045504894085, 0.532773581990306, 0.5316372403984813, 0.5166062024829322]","['010130.KS', '007660.KS', '082740.KS', '443060.KS', '004020.KS']","[-0.11874627509091339, -0.11741353257729076, -0.08769374301506151, -0.08750892501914073, -0.08470171383580548]"
018670.KS,"['012510.KS', '022100.KS', '000080.KS', '192080.KS', '036570.KS']","[0.46006656850123306, 0.444247517842792, 0.4348181461633909, 0.4019946876704923, 0.3956901081971834]","['329180.KS', '042660.KS', '010620.KS', '009540.KS', '352820.KS']","[-0.20346071420100595, -0.1666817392960993, -0.15747072218410804, -0.14684973950170152, -0.1387494829713962]"
018880.KS,"['073240.KS', '161390.KS', '081660.KS', '096770.KS', '005387.KS']","[0.5737960807915109, 0.5278903187163878, 0.468029824233497, 0.46018634729856445, 0.4526296344997932]","['003570.KS', '000720.KS', '009970.KS', '079550.KS', '272210.KS']","[-0.2316851452564038, -0.22978847652877765, -0.16832352237430076, -0.15957524224610506, -0.1568774944111735]"
020150.KS,"['022100.KS', '005070.KS', '361610.KS', '011170.KS', '006400.KS']","[0.7097682969087209, 0.6989020004053083, 0.6942114818961449, 0.6548683361683915, 0.6411818916980383]","['010130.KS', '267260.KS', '030200.KS', '010620.KS', '089860.KS']","[-0.18225721865859634, -0.15906763680759667, -0.13343533876042254, -0.09956564189609837, -0.09102060419676583]"
020560.KS,"['003490.KS', '036460.KS', '006040.KS', '395400.KS', '000810.KS']","[0.6509326192007628, 0.5042113277301767, 0.4684320744639069, 0.4497003920116156, 0.4380923227272868]","['010130.KS', '007660.KS', '042660.KS', '006260.KS', '329180.KS']","[-0.27126254981185277, -0.13588064898142124, -0.09914983331003413, -0.09635139310730584, -0.08477789619852648]"
021240.KS,"['010120.KS', '005387.KS', '298040.KS', '071050.KS', '005940.KS']","[0.46805973454822625, 0.3806822403471902, 0.37688978877582713, 0.36647519954479113, 0.3608431806825451]","['017960.KS', '036460.KS', '010620.KS', '069620.KS', '047050.KS']","[-0.26300237679454574, -0.2320571481662203, -0.2156550610817122, -0.20208869753137837, -0.18703362524750133]"
022100.KS,"['003670.KS', '020150.KS', '450080.KS', '361610.KS', '005070.KS']","[0.7305461703764622, 0.7097682969087209, 0.7062245293841511, 0.6890535113943226, 0.6817658261263891]","['042660.KS', '329180.KS', '352820.KS', '017800.KS', '443060.KS']","[-0.18002238969870699, -0.15472157830646957, -0.13549817977989875, -0.10011379137732972, -0.09470075979629103]"
023530.KS,"['004170.KS', '139480.KS', '004990.KS', '069960.KS', '011170.KS']","[0.6526411316690061, 0.6065379045354468, 0.5461338636009927, 0.5160153548577009, 0.41846196294391486]","['204320.KS', '052690.KS', '329180.KS', '010130.KS', '032830.KS']","[-0.22844212165316372, -0.176902312192563, -0.17176522781909245, -0.14899762288717758, -0.13847089121946934]"
024110.KS,"['029780.KS', '139130.KS', '005940.KS', '316140.KS', '138930.KS']","[0.8129321041290701, 0.7292631514925287, 0.7108536341837517, 0.7093111819207188, 0.7062168217017861]","['012450.KS', '009450.KS', '267270.KS', '042660.KS', '373220.KS']","[-0.07306159544777183, -0.05921179067296429, -0.05004655579149173, -0.03725631182359701, -0.016087162901013575]"
026960.KS,"['073240.KS', '192080.KS', '035250.KS', '462870.KS', '001800.KS']","[0.4990430004148714, 0.4526076998717886, 0.4319887180853696, 0.423829879047397, 0.41841995408974875]","['329180.KS', '017960.KS', '042660.KS', '082740.KS', '071970.KS']","[-0.3868058465323734, -0.3852550693017522, -0.33926953036791635, -0.28616186069102356, -0.2529042548301448]"
028050.KS,"['010950.KS', '005930.KS', '078930.KS', '097950.KS', '011210.KS']","[0.5587932880225354, 0.5069708840874041, 0.5067764556890378, 0.5037428184756992, 0.5010306926797377]","['010130.KS', '009450.KS', '012510.KS', '267270.KS', '326030.KS']","[-0.23325289156905768, -0.15728860342508874, -0.15588519391412428, -0.12172325545158325, -0.07604326005704731]"
028260.KS,"['032830.KS', '000810.KS', '006360.KS', '078930.KS', '055550.KS']","[0.7162208947168759, 0.6361171105744249, 0.5502026029136692, 0.5353626982212827, 0.5227140240160554]","['026960.KS', '267270.KS', '192820.KS', '066970.KS', '073240.KS']","[-0.167422451124259, -0.14289856656208122, -0.10635983140785103, -0.0962059982541684, -0.08854605112139342]"
028670.KS,"['011200.KS', '004020.KS', '361610.KS', '034230.KS', '011170.KS']","[0.6082119760564125, 0.5792989898280702, 0.5492263400877652, 0.5392248504555803, 0.5267154566037433]","['010130.KS', '010620.KS', '030200.KS', '192080.KS', '007660.KS']","[-0.2934898103372554, -0.0972586510429399, -0.09029982714792037, -0.08701894065275695, -0.08323226371142611]"
029780.KS,"['024110.KS', '138930.KS', '005940.KS', '000810.KS', '139130.KS']","[0.8129321041290701, 0.6188778673809898, 0.6150377313307225, 0.5979690989289087, 0.5821468558673637]","['298020.KS', '009450.KS', '267270.KS', '062040.KS', '000150.KS']","[-0.2379308312473713, -0.22452302930345802, -0.17727324229021837, -0.15459672070826905, -0.15008617848918013]"
030000.KS,"['007070.KS', '000080.KS', '039490.KS', '016360.KS', '012330.KS']","[0.6132811515561082, 0.5977707110720037, 0.5607613766476179, 0.5327348450796277, 0.5273497348624611]","['042660.KS', '329180.KS', '082740.KS', '017960.KS', '395400.KS']","[-0.3188765388924657, -0.2307874447158762, -0.14225426969177918, -0.12064788198048083, -0.11724225410249355]"
030200.KS,"['139130.KS', '032640.KS', '138930.KS', '073240.KS', '175330.KS']","[0.5131876832694513, 0.4638600503452433, 0.4491358300260668, 0.43159694959197636, 0.41611983128402125]","['003230.KS', '042660.KS', '000150.KS', '064350.KS', '000990.KS']","[-0.39653362914510243, -0.3248858052725306, -0.31963540446149363, -0.247758901325708, -0.22982826430605272]"
032640.KS,"['000810.KS', '029780.KS', '139130.KS', '024110.KS', '030200.KS']","[0.4991171535469622, 0.4870175242789336, 0.4762954241472848, 0.4712151417983441, 0.4638600503452433]","['298020.KS', '009420.KS', '042660.KS', '000150.KS', '009450.KS']","[-0.2992015759874426, -0.2453267174242511, -0.23092328146442578, -0.21036944101974053, -0.19026700821326462]"
032830.KS,"['028260.KS', '000810.KS', '034730.KS', '001450.KS', '005830.KS']","[0.7162208947168759, 0.7141554574409258, 0.5347250864120343, 0.5153537278091281, 0.4928880605591453]","['267270.KS', '298020.KS', '023530.KS', '042660.KS', '103590.KS']","[-0.22988116261357455, -0.14588309290618368, -0.13847089121946934, -0.12881023710679718, -0.12648803157295938]"
033780.KS,"['034230.KS', '055550.KS', '161390.KS', '078930.KS', '175330.KS']","[0.5428422596653716, 0.49504886555461997, 0.46246353500799625, 0.4313180907902157, 0.40035430016805257]","['011790.KS', '003570.KS', '112610.KS', '012450.KS', '020150.KS']","[-0.09963414180485661, -0.07755673791360768, -0.07533663246597976, -0.04921713971705391, -0.04532378286671113]"
034020.KS,"['052690.KS', '051600.KS', '000720.KS', '000150.KS', '001440.KS']","[0.6832971866662206, 0.57488895487165, 0.5748613271138839, 0.5511147298401389, 0.5012802509352983]","['259960.KS', '192080.KS', '280360.KS', '073240.KS', '373220.KS']","[-0.2591807498227193, -0.17176348207193917, -0.12959147322294937, -0.12595922899736428, -0.10879386202341106]"
034220.KS,"['005380.KS', '011070.KS', '066570.KS', '005385.KS', '005387.KS']","[0.5917666437175082, 0.58749979556691, 0.585747982295269, 0.5705654675441689, 0.5507218479481271]","['017800.KS', '294870.KS', '259960.KS', '012630.KS', '375500.KS']","[-0.19065076855071467, -0.18279897258958402, -0.18240737773162208, -0.15349458746136932, -0.13891403722373577]"
034230.KS,"['069960.KS', '033780.KS', '028670.KS', '001720.KS', '008770.KS']","[0.5431406541082224, 0.5428422596653716, 0.5392248504555803, 0.5072661995378056, 0.501939265236472]","['329180.KS', '064350.KS', '272210.KS', '042660.KS', '443060.KS']","[-0.20308831241042963, -0.18340398541928882, -0.16162343161308818, -0.15751446084150342, -0.13445283393512394]"
034730.KS,"['003090.KS', '088350.KS', '002380.KS', '071050.KS', '006800.KS']","[0.70446705226223, 0.6889699735174378, 0.6739017234124657, 0.6559953329327038, 0.6475894612470017]","['267270.KS', '272210.KS', '010130.KS', '047810.KS', '011200.KS']","[-0.041484033916010646, -0.04109434032238167, -0.0227246377642516, -0.015675237200271214, -0.01398395796267501]"
035250.KS,"['073240.KS', '139130.KS', '003690.KS', '003550.KS', '096770.KS']","[0.5195049614719978, 0.45736696879281913, 0.4430456394990559, 0.4407945631435588, 0.4330249264852936]","['329180.KS', '042660.KS', '017960.KS', '012450.KS', '352820.KS']","[-0.21311206839606311, -0.17686547225368307, -0.14996198181067955, -0.14524482961840696, -0.1373208286923788]"
035420.KS,"['018260.KS', '035720.KS', '051600.KS', '002790.KS', '323410.KS']","[0.703979321973219, 0.6301960775662445, 0.4993253280455585, 0.49742445308705024, 0.496915081616378]","['012750.KS', '007660.KS', '330590.KS', '395400.KS', '047050.KS']","[-0.2413961630559999, -0.15928937669171894, -0.13742762698584074, -0.09894748255254737, -0.09410803601426651]"
035720.KS,"['377300.KS', '323410.KS', '035420.KS', '018260.KS', '089860.KS']","[0.7491020795097215, 0.7202693277428995, 0.6301960775662445, 0.4682774544417987, 0.42130947064629043]","['036460.KS', '012450.KS', '009450.KS', '010620.KS', '300720.KS']","[-0.28193339474780404, -0.20797058665864437, -0.18936147373748485, -0.17236298900854646, -0.1635480616916665]"
036460.KS,"['047050.KS', '005490.KS', '105560.KS', '066570.KS', '020560.KS']","[0.6796548217010892, 0.5981716847678722, 0.5231030641458625, 0.5177616199495458, 0.5042113277301767]","['010130.KS', '035720.KS', '021240.KS', '323410.KS', '298040.KS']","[-0.33395045696808046, -0.28193339474780404, -0.2320571481662203, -0.22944054491558555, -0.22581725459348492]"
036570.KS,"['000080.KS', '096770.KS', '073240.KS', '017670.KS', '068270.KS']","[0.47573340828283434, 0.47213285210588724, 0.46085825778969663, 0.4453783221542867, 0.42927013591691854]","['103590.KS', '241560.KS', '042660.KS', '012450.KS', '009450.KS']","[-0.20410609734214466, -0.1930318455993753, -0.1903283186582878, -0.18119088524642088, -0.1488014708850001]"
039490.KS,"['071050.KS', '016360.KS', '006800.KS', '086790.KS', '316140.KS']","[0.7654997768278219, 0.7622470635104263, 0.7437778919813337, 0.6679603166744237, 0.6597674191998959]","['042660.KS', '259960.KS', '017960.KS', '010130.KS', '012510.KS']","[-0.14521373683771743, -0.07370189010129467, -0.07314763786876849, -0.025964673627014247, -0.012756950304460106]"
042660.KS,"['329180.KS', '272210.KS', '082740.KS', '010140.KS', '003570.KS']","[0.6689904851003644, 0.6538736285418899, 0.5142869347836744, 0.47538576274733707, 0.41081589480395025]","['008770.KS', '069960.KS', '259960.KS', '026960.KS', '030200.KS']","[-0.39140729937518154, -0.3542690781686864, -0.3528319523164003, -0.33926953036791635, -0.3248858052725306]"
042670.KS,"['267270.KS', '071970.KS', '272210.KS', '035420.KS', '082740.KS']","[0.8040335462955601, 0.4900280044356787, 0.4754883236249225, 0.45644239269465453, 0.45348123040317667]","['259960.KS', '069620.KS', '029780.KS', '000100.KS', '012750.KS']","[-0.31324206919462266, -0.14240272282988706, -0.12453447908144989, -0.11556539115643231, -0.10247132589799608]"
042700.KS,"['000660.KS', '402340.KS', '011790.KS', '014680.KS', '039490.KS']","[0.7060800762071264, 0.6555953720842559, 0.6232592822881997, 0.5375932381977301, 0.49007453726503464]","['139480.KS', '012510.KS', '294870.KS', '010130.KS', '030200.KS']","[-0.22993162347434695, -0.13798303921995062, -0.12747805094966957, -0.1100694667468797, -0.10091227431684878]"
047040.KS,"['006360.KS', '000720.KS', '028260.KS', '000880.KS', '294870.KS']","[0.7326425913172013, 0.4944837375825101, 0.43939532008882454, 0.40782224161452213, 0.3935348035511984]","['192080.KS', '009450.KS', '373220.KS', '034220.KS', '443060.KS']","[-0.14989401458214296, -0.13224913645084543, -0.11795133476583236, -0.11237589384344802, -0.10536500160242755]"
047050.KS,"['005490.KS', '036460.KS', '004020.KS', '051910.KS', '361610.KS']","[0.7243601803582654, 0.6796548217010892, 0.6002931817380831, 0.5502256233507519, 0.547475480935559]","['010130.KS', '021240.KS', '298040.KS', '103590.KS', '089860.KS']","[-0.2702533525109523, -0.18703362524750133, -0.17112091724790274, -0.14693497102287525, -0.12240458252168433]"
047810.KS,"['012450.KS', '272210.KS', '003570.KS', '079550.KS', '103140.KS']","[0.6031295960553668, 0.5622711307390238, 0.49991643358076626, 0.4904904467423621, 0.46396166005667216]","['326030.KS', '137310.KS', '207940.KS', '111770.KS', '112610.KS']","[-0.3397642638419082, -0.23127171166092736, -0.2093471329244976, -0.17150672092895977, -0.15089367844814258]"
051600.KS,"['052690.KS', '034020.KS', '039490.KS', '001440.KS', '035420.KS']","[0.6789812615028361, 0.57488895487165, 0.5389472390492396, 0.5150456912197914, 0.4993253280455585]","['395400.KS', '010060.KS', '081660.KS', '007340.KS', '000100.KS']","[-0.2599487315349228, -0.17790213032205637, -0.17480781559997793, -0.14306469095045735, -0.140443551488082]"
051900.KS,"['298020.KS', '022100.KS', '450080.KS', '011780.KS', '005070.KS']","[0.599761388362212, 0.5307529788246768, 0.5249754723474411, 0.4158774051549785, 0.41432839904592755]","['015760.KS', '032640.KS', '300720.KS', '030200.KS', '042660.KS']","[-0.1880421721564414, -0.1811327897547068, -0.1624698172740087, -0.15506506652949975, -0.15251541974024718]"
051910.KS,"['005490.KS', '004020.KS', '373220.KS', '011170.KS', '096770.KS']","[0.8399266463395032, 0.6788599168994454, 0.6783801597679632, 0.6510564560585305, 0.6290223015824125]","['012630.KS', '352820.KS', '267260.KS', '375500.KS', '294870.KS']","[-0.2848137805680387, -0.24290395793052147, -0.23890316763717923, -0.22980422492194988, -0.2288681975369522]"
052690.KS,"['034020.KS', '051600.KS', '001440.KS', '103140.KS', '039490.KS']","[0.6832971866662206, 0.6789812615028361, 0.6061184367328635, 0.5829789207688365, 0.48915565702082126]","['023530.KS', '081660.KS', '010130.KS', '004370.KS', '089860.KS']","[-0.176902312192563, -0.17394913794860387, -0.12981477584535617, -0.12151801742648022, -0.11181063550251648]"
055550.KS,"['105560.KS', '316140.KS', '086790.KS', '071050.KS', '139130.KS']","[0.7869121741711856, 0.7494240076532245, 0.7364582532976881, 0.6122083589095118, 0.6036580398471014]","['012450.KS', '192820.KS', '042660.KS', '272210.KS', '462870.KS']","[-0.11424943629137815, -0.08324231418550486, -0.07419351999489014, -0.059225449106035395, -0.04141582046307205]"
062040.KS,"['298040.KS', '103590.KS', '010120.KS', '001440.KS', '017800.KS']","[0.5680970473918456, 0.5185575904767633, 0.49761811680854684, 0.4501532245847956, 0.446183222846592]","['030200.KS', '006400.KS', '280360.KS', '029780.KS', '395400.KS']","[-0.19536461132473232, -0.1879182319997119, -0.17736434702357656, -0.15459672070826905, -0.15255685695970758]"
064350.KS,"['003570.KS', '079550.KS', '103140.KS', '000990.KS', '272210.KS']","[0.6631345408977088, 0.5432331249833708, 0.5103516109164975, 0.4346355686819087, 0.4256106401006934]","['073240.KS', '030200.KS', '081660.KS', '003490.KS', '180640.KS']","[-0.27852462009878726, -0.247758901325708, -0.21155955744793037, -0.2111821456608112, -0.1881508604404687]"
066570.KS,"['005387.KS', '005935.KS', '005850.KS', '005385.KS', '034220.KS']","[0.66821814485244, 0.6173864928159258, 0.6169452352012719, 0.5951590697868152, 0.585747982295269]","['010130.KS', '003230.KS', '009450.KS', '001720.KS', '294870.KS']","[-0.1500652969267154, -0.12390590829671375, -0.12375735435367394, -0.10034958573897006, -0.09251580615502705]"
066970.KS,"['005070.KS', '003670.KS', '450080.KS', '361610.KS', '373220.KS']","[0.7774202966306928, 0.7249005758205408, 0.6979932620992506, 0.6626865287438062, 0.6457832548306635]","['294870.KS', '012630.KS', '375500.KS', '009970.KS', '443060.KS']","[-0.25602306767251026, -0.19645092162607786, -0.16769235260183651, -0.16683759657996158, -0.16065193171750333]"
068270.KS,"['096770.KS', '005490.KS', '006280.KS', '010950.KS', '185750.KS']","[0.5592803324808463, 0.5353619825602888, 0.5240903857639257, 0.5215958592057094, 0.5126799709423026]","['012450.KS', '272210.KS', '000150.KS', '047810.KS', '443060.KS']","[-0.30794257475612, -0.18883684238291853, -0.17289904044036947, -0.14915833655836863, -0.13562209244797246]"
069620.KS,"['003090.KS', '000100.KS', '128940.KS', '326030.KS', '009420.KS']","[0.6333100507383679, 0.48989245414165494, 0.479910730162335, 0.47437583377952725, 0.4523695953103123]","['015760.KS', '021240.KS', '042660.KS', '017670.KS', '272210.KS']","[-0.24297841325521144, -0.20208869753137837, -0.17485977543461292, -0.14729770171487946, -0.1451144169168991]"
069960.KS,"['004170.KS', '008770.KS', '034230.KS', '023530.KS', '383220.KS']","[0.7753745389045329, 0.6025481551941915, 0.5431406541082224, 0.5160153548577009, 0.48283127550643107]","['329180.KS', '042660.KS', '082740.KS', '443060.KS', '272210.KS']","[-0.4251255633409418, -0.3542690781686864, -0.3073864346101569, -0.18938014470347825, -0.17463093087115705]"
071050.KS,"['006800.KS', '005940.KS', '016360.KS', '039490.KS', '086790.KS']","[0.8294215820325654, 0.8169490207387897, 0.7680760139868196, 0.7654997768278219, 0.73668146381004]","['042660.KS', '017960.KS', '012450.KS', '047810.KS', '036460.KS']","[-0.1372953848608322, -0.07181007088841729, -0.05919885259432129, -0.040000288709999235, -0.026315864807749247]"
071970.KS,"['082740.KS', '009540.KS', '329180.KS', '443060.KS', '017960.KS']","[0.7430887644934958, 0.6336155320246487, 0.563277203282667, 0.5506257558349987, 0.49833126701191954]","['026960.KS', '011200.KS', '089860.KS', '138040.KS', '051910.KS']","[-0.2529042548301448, -0.20034564957306203, -0.17445733676360642, -0.14548811426245833, -0.13176824554659397]"
073240.KS,"['018880.KS', '096770.KS', '035250.KS', '026960.KS', '112610.KS']","[0.5737960807915109, 0.5401927948446563, 0.5195049614719978, 0.4990430004148714, 0.4944076071964909]","['267260.KS', '017960.KS', '000150.KS', '064350.KS', '012450.KS']","[-0.3252822725267591, -0.30180737410278247, -0.2851840008526706, -0.27852462009878726, -0.25515461303572107]"
078930.KS,"['004990.KS', '002380.KS', '034730.KS', '006360.KS', '001800.KS']","[0.6574848734829395, 0.6345268864138844, 0.6017744920548119, 0.5884883067720877, 0.5848778383661128]","['009450.KS', '111770.KS', '352820.KS', '267270.KS', '259960.KS']","[-0.0916854696593899, -0.07536984614266633, -0.06937271985031987, -0.06864791681938193, -0.05568176797367986]"
