target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
079550.KS,"['003570.KS', '012450.KS', '272210.KS', '103140.KS', '064350.KS']","[0.6649821546860838, 0.6206383676389596, 0.6018655764848808, 0.5525015180523546, 0.5432331249833708]","['081660.KS', '030200.KS', '018880.KS', '395400.KS', '073240.KS']","[-0.258139239590042, -0.20181217199612583, -0.15957524224610506, -0.13651523160210693, -0.12668368930878843]"
081660.KS,"['395400.KS', '018880.KS', '005935.KS', '073240.KS', '051910.KS']","[0.48017644443095286, 0.468029824233497, 0.4189901898840858, 0.3917435413344144, 0.38722564238790697]","['003570.KS', '079550.KS', '267260.KS', '010130.KS', '064350.KS']","[-0.2667373242928847, -0.258139239590042, -0.2459243597196093, -0.23906757152092753, -0.21155955744793037]"
082740.KS,"['071970.KS', '329180.KS', '009540.KS', '443060.KS', '042660.KS']","[0.7430887644934958, 0.6353222440417712, 0.5988289362924116, 0.525827452598087, 0.5142869347836744]","['069960.KS', '026960.KS', '089860.KS', '259960.KS', '111770.KS']","[-0.3073864346101569, -0.28616186069102356, -0.26561491281915073, -0.22979638667221086, -0.1913334623858796]"
086280.KS,"['012330.KS', '454910.KS', '003550.KS', '051600.KS', '039490.KS']","[0.4578258562068712, 0.43736229852554065, 0.42953681545198075, 0.42580544906283246, 0.4251466017624775]","['003230.KS', '042660.KS', '010130.KS', '009450.KS', '139480.KS']","[-0.11961278929873612, -0.09861764853856894, -0.09513235623010455, -0.07967235352964436, -0.07244283991068513]"
086790.KS,"['316140.KS', '105560.KS', '071050.KS', '055550.KS', '139130.KS']","[0.7516314899314728, 0.7369602714126073, 0.73668146381004, 0.7364582532976881, 0.7100938586488439]","['042660.KS', '192820.KS', '017960.KS', '062040.KS', '012450.KS']","[-0.2100162986814071, -0.14346431448294225, -0.12503871163409305, -0.09234011275649229, -0.08639123412390591]"
088350.KS,"['004990.KS', '034730.KS', '005940.KS', '071050.KS', '003090.KS']","[0.7123058079794234, 0.6889699735174378, 0.6865003133745773, 0.680460447503047, 0.6798051042475117]","['267270.KS', '081660.KS', '017960.KS', '272210.KS', '042660.KS']","[-0.08179673867037777, -0.06906762836326528, -0.027066102301659085, -0.01366544864362099, -0.008336114643281095]"
088980.KS,"['020150.KS', '383220.KS', '079550.KS', '023530.KS', '004170.KS']","[0.49416611650706005, 0.4427978819701172, 0.43709932465778173, 0.40663056424829686, 0.40411893810162325]","['010130.KS', '267260.KS', '015760.KS', '000270.KS', '009450.KS']","[-0.26643190400174305, -0.1469801866134637, -0.13793041663993408, -0.12434132670601795, -0.1212121996947042]"
089860.KS,"['323410.KS', '035720.KS', '251270.KS', '069960.KS', '005940.KS']","[0.44229368689639853, 0.42130947064629043, 0.4158753840130697, 0.4149911216574439, 0.4128239105709911]","['329180.KS', '042660.KS', '009450.KS', '082740.KS', '204320.KS']","[-0.35247126709396537, -0.3140056411881438, -0.2889107758831558, -0.26561491281915073, -0.2320991403113531]"
090430.KS,"['002790.KS', '383220.KS', '302440.KS', '192820.KS', '161890.KS']","[0.8292432508130457, 0.5799726106745869, 0.549764438531605, 0.5176450292146421, 0.5075731861122174]","['010130.KS', '017670.KS', '375500.KS', '030200.KS', '326030.KS']","[-0.27168445688833687, -0.13907051742577706, -0.11587264899551766, -0.09878436853735284, -0.08615181947657546]"
096770.KS,"['361610.KS', '005490.KS', '003670.KS', '010950.KS', '051910.KS']","[0.7151682328056864, 0.7025993818036914, 0.6496266014904916, 0.6488684377483663, 0.6290223015824125]","['042660.KS', '272210.KS', '329180.KS', '000720.KS', '294870.KS']","[-0.27191071638053527, -0.23854889353944914, -0.18761528837932456, -0.1592147827637534, -0.1589506559499596]"
097950.KS,"['007310.KS', '271560.KS', '005490.KS', '003550.KS', '280360.KS']","[0.6478690972268547, 0.6316435063447204, 0.6291916917355068, 0.6087083954156569, 0.576930966914081]","['009420.KS', '009450.KS', '010130.KS', '298040.KS', '000150.KS']","[-0.26208037204939755, -0.18005496293839374, -0.16212077613757037, -0.16183088182146582, -0.1314175287641989]"
103140.KS,"['052690.KS', '079550.KS', '064350.KS', '001440.KS', '039490.KS']","[0.5829789207688365, 0.5525015180523546, 0.5103516109164975, 0.508317123376931, 0.4926867352175796]","['395400.KS', '180640.KS', '081660.KS', '018880.KS', '073240.KS']","[-0.2281084835850005, -0.19871789211310067, -0.17644962248028195, -0.1561596863392237, -0.14901317007391965]"
103590.KS,"['298040.KS', '241560.KS', '267260.KS', '000150.KS', '062040.KS']","[0.588884995045891, 0.5813040371384658, 0.5248383746746398, 0.5203208890051954, 0.5185575904767633]","['036570.KS', '000080.KS', '204320.KS', '005380.KS', '017670.KS']","[-0.20410609734214466, -0.18903647058058076, -0.1859347483026396, -0.17617110389492766, -0.1756118732727977]"
105560.KS,"['055550.KS', '086790.KS', '316140.KS', '175330.KS', '024110.KS']","[0.7869121741711856, 0.7369602714126073, 0.6359171848886807, 0.5466004963431886, 0.5427640491364458]","['042660.KS', '003230.KS', '012450.KS', '272210.KS', '192820.KS']","[-0.19885880865860972, -0.12653718657202948, -0.1125765695220645, -0.11063359944339679, -0.07096440930565431]"
111770.KS,"['009970.KS', '071050.KS', '180640.KS', '006800.KS', '000720.KS']","[0.5448049202571398, 0.4114506334863727, 0.4022332795305092, 0.35527878524809825, 0.34542689310922126]","['329180.KS', '443060.KS', '373220.KS', '012450.KS', '042660.KS']","[-0.25675956046564796, -0.24517593315139916, -0.22798494132571648, -0.21597109349041016, -0.21414407424703602]"
112610.KS,"['009830.KS', '180640.KS', '073240.KS', '010060.KS', '267250.KS']","[0.5934763030267568, 0.4951619997644686, 0.4944076071964909, 0.4802403416383654, 0.4792327380447789]","['042660.KS', '272210.KS', '003690.KS', '047810.KS', '294870.KS']","[-0.2409563911740706, -0.20145847024448904, -0.15931663906583618, -0.15089367844814258, -0.14551789389203496]"
128940.KS,"['008930.KS', '069620.KS', '185750.KS', '009420.KS', '079550.KS']","[0.48560266980231476, 0.479910730162335, 0.47693472720426694, 0.4695206493328281, 0.4443880661379847]","['026960.KS', '373220.KS', '204320.KS', '000270.KS', '007340.KS']","[-0.1744977306764809, -0.15630448137169473, -0.12547826568598447, -0.0987105308916526, -0.09157740956428229]"
137310.KS,"['006360.KS', '047040.KS', '180640.KS', '008770.KS', '007070.KS']","[0.4821414703801671, 0.36305163460533607, 0.3597924191429401, 0.3575809897705602, 0.3486533319799468]","['007660.KS', '047810.KS', '010130.KS', '271560.KS', '192080.KS']","[-0.27595500484166874, -0.23127171166092736, -0.22648928251832065, -0.22384078827963735, -0.19371654818742184]"
138040.KS,"['316140.KS', '450080.KS', '139130.KS', '005850.KS', '020560.KS']","[0.4656963251921377, 0.44312875738456864, 0.42321884755947, 0.4048765423462361, 0.4030854796114655]","['012630.KS', '012510.KS', '009970.KS', '017960.KS', '443060.KS']","[-0.2785923606646456, -0.21095284502315487, -0.18105304142902237, -0.17302671902756692, -0.17105727500296627]"
138930.KS,"['139130.KS', '024110.KS', '005940.KS', '086790.KS', '175330.KS']","[0.7685442228030952, 0.7062168217017861, 0.687126508929241, 0.6849264285014448, 0.6576579616614494]","['042660.KS', '012450.KS', '329180.KS', '272210.KS', '267270.KS']","[-0.21868507531233608, -0.20378377413763527, -0.18548261035470273, -0.13612555985478478, -0.121867587929578]"
139130.KS,"['005940.KS', '138930.KS', '316140.KS', '024110.KS', '086790.KS']","[0.7712785837839725, 0.7685442228030952, 0.7393906735058821, 0.7292631514925287, 0.7100938586488439]","['017960.KS', '042660.KS', '012450.KS', '009450.KS', '329180.KS']","[-0.1753875184111468, -0.14275673026498162, -0.09953087595463689, -0.09471485378025746, -0.09232496729943024]"
139480.KS,"['023530.KS', '004170.KS', '000120.KS', '097950.KS', '192080.KS']","[0.6065379045354468, 0.5587603751478069, 0.4842890690641074, 0.45164191982101176, 0.41244896336687326]","['298040.KS', '042700.KS', '307950.KS', '267260.KS', '111770.KS']","[-0.23553592561569872, -0.22993162347434695, -0.22729157278152107, -0.2235240530090069, -0.19779446659680294]"
161390.KS,"['003550.KS', '018880.KS', '005490.KS', '033780.KS', '028670.KS']","[0.5407005314280993, 0.5278903187163878, 0.4811625952836991, 0.46246353500799625, 0.4601510217094004]","['003570.KS', '064350.KS', '443060.KS', '051600.KS', '003690.KS']","[-0.14791820580759346, -0.09268025399138158, -0.07455071557104408, -0.06250447560686674, -0.0552817407554384]"
161890.KS,"['192820.KS', '090430.KS', '002790.KS', '192080.KS', '001800.KS']","[0.5255191731541738, 0.5075731861122174, 0.48379983385163533, 0.4611243870136493, 0.4492374080952244]","['010130.KS', '009420.KS', '005387.KS', '267260.KS', '042660.KS']","[-0.23570397428723833, -0.147456545934789, -0.12019842483260562, -0.1185586756816379, -0.11160131726612736]"
175330.KS,"['139130.KS', '138930.KS', '024110.KS', '316140.KS', '086790.KS']","[0.6916870305976766, 0.6576579616614494, 0.6191882800615754, 0.610714486303286, 0.6079538470884449]","['009450.KS', '300720.KS', '457190.KS', '017960.KS', '000150.KS']","[-0.13697233341735046, -0.1259725993392844, -0.12217720809686906, -0.11819520431452116, -0.11444692628020622]"
180640.KS,"['011200.KS', '112610.KS', '028670.KS', '006360.KS', '008930.KS']","[0.5205947970720066, 0.4951619997644686, 0.46165314358786114, 0.43289366542863317, 0.4101200183422789]","['192080.KS', '103140.KS', '064350.KS', '012510.KS', '047810.KS']","[-0.266770542722346, -0.19871789211310067, -0.1881508604404687, -0.15596228826317524, -0.13243090911930266]"
185750.KS,"['006280.KS', '001450.KS', '068270.KS', '000100.KS', '036460.KS']","[0.6198427978205585, 0.5395165926917307, 0.5126799709423026, 0.49837334080814244, 0.4889311492389866]","['010130.KS', '012510.KS', '192080.KS', '026960.KS', '373220.KS']","[-0.24269923311077735, -0.14788294506826494, -0.13914896532993995, -0.11671930346349714, -0.10475947826001668]"
192080.KS,"['161890.KS', '001040.KS', '026960.KS', '003550.KS', '088350.KS']","[0.4611243870136493, 0.4560162768918642, 0.4526076998717886, 0.44565580464551596, 0.41645067612823755]","['011200.KS', '042660.KS', '180640.KS', '010140.KS', '137310.KS']","[-0.3445676413117438, -0.2744386092045742, -0.266770542722346, -0.19872852766915422, -0.19371654818742184]"
192820.KS,"['161890.KS', '090430.KS', '004170.KS', '002790.KS', '069960.KS']","[0.5255191731541738, 0.5176450292146421, 0.485069973407045, 0.4812217357943617, 0.4618157220224367]","['207940.KS', '326030.KS', '009420.KS', '030200.KS', '086790.KS']","[-0.26689603214549984, -0.20081740153165534, -0.20063642161109946, -0.17396472169945404, -0.14346431448294225]"
204320.KS,"['096770.KS', '018880.KS', '373220.KS', '011790.KS', '000080.KS']","[0.4855738431228788, 0.4244290086463243, 0.4180656195100688, 0.41432849120685344, 0.3997164184128055]","['000720.KS', '089860.KS', '012630.KS', '023530.KS', '241560.KS']","[-0.28761228725707005, -0.2320991403113531, -0.23117544275087143, -0.22844212165316372, -0.21701156712148703]"
207940.KS,"['326030.KS', '068270.KS', '000100.KS', '069620.KS', '006280.KS']","[0.621805727370538, 0.5092254232100398, 0.43416789468221256, 0.41959454173352373, 0.4191235551828276]","['192820.KS', '047810.KS', '014680.KS', '026960.KS', '011200.KS']","[-0.26689603214549984, -0.2093471329244976, -0.18660050594251182, -0.17209621522954807, -0.17196357308551247]"
241560.KS,"['103590.KS', '016360.KS', '007660.KS', '051600.KS', '000150.KS']","[0.5813040371384658, 0.5176003660344378, 0.5153101529133762, 0.4734510024266391, 0.4358810615929878]","['204320.KS', '036570.KS', '259960.KS', '000080.KS', '036460.KS']","[-0.21701156712148703, -0.1930318455993753, -0.18697555128091287, -0.14081870925055726, -0.1374664856023501]"
251270.KS,"['000120.KS', '005830.KS', '271560.KS', '005385.KS', '001800.KS']","[0.5062727609483131, 0.4863653174684976, 0.44586492364151636, 0.44171627471258323, 0.4396166243088962]","['010140.KS', '267270.KS', '042660.KS', '009450.KS', '082740.KS']","[-0.2436965928776435, -0.24033320524263496, -0.2358998731629039, -0.23198738494527246, -0.08800009557426042]"
259960.KS,"['069620.KS', '000100.KS', '009420.KS', '161890.KS', '330590.KS']","[0.34101127560101413, 0.3361708754943788, 0.3326648025988278, 0.317522453416896, 0.29796916214338026]","['272210.KS', '042660.KS', '000880.KS', '042670.KS', '009450.KS']","[-0.4437875751874767, -0.3528319523164003, -0.31563673421058125, -0.31324206919462266, -0.27101947213389743]"
267250.KS,"['034730.KS', '000880.KS', '003090.KS', '006800.KS', '039490.KS']","[0.6258223930799768, 0.5906834716212297, 0.5903603230136911, 0.5902095758004053, 0.5548001016654762]","['352820.KS', '062040.KS', '259960.KS', '383220.KS', '042660.KS']","[-0.08129010567220035, -0.08027810007926703, -0.07206998273579714, -0.06023934173482267, -0.059904266890456935]"
267260.KS,"['103590.KS', '000150.KS', '010120.KS', '003570.KS', '272210.KS']","[0.5248383746746398, 0.49903134144101513, 0.46463323107323984, 0.44759067207402076, 0.44727513587934986]","['073240.KS', '081660.KS', '051910.KS', '005070.KS', '139480.KS']","[-0.3252822725267591, -0.2459243597196093, -0.23890316763717923, -0.23149844879795128, -0.2235240530090069]"
267270.KS,"['042670.KS', '082740.KS', '071970.KS', '009450.KS', '298040.KS']","[0.8040335462955601, 0.4461671461020466, 0.39856386709915764, 0.3769140831870018, 0.3709070260177355]","['259960.KS', '251270.KS', '032830.KS', '000810.KS', '010130.KS']","[-0.2499956389532108, -0.24033320524263496, -0.22988116261357455, -0.223541066138436, -0.21651063204633958]"
271560.KS,"['007310.KS', '097950.KS', '004370.KS', '280360.KS', '001800.KS']","[0.637565260650055, 0.6316435063447204, 0.5720324530586353, 0.5382424947824381, 0.5309898069638732]","['017960.KS', '137310.KS', '267260.KS', '015760.KS', '010620.KS']","[-0.25618401285374565, -0.22384078827963735, -0.17313594926924233, -0.14316789221848408, -0.13952825216947679]"
272210.KS,"['042660.KS', '079550.KS', '047810.KS', '012450.KS', '003570.KS']","[0.6538736285418899, 0.6018655764848808, 0.5622711307390238, 0.5348446170166872, 0.5099906764805935]","['259960.KS', '006400.KS', '012750.KS', '096770.KS', '005850.KS']","[-0.4437875751874767, -0.26492939220558315, -0.24060495965817338, -0.23854889353944914, -0.23427746972651295]"
278470.KS,"['034230.KS', '033780.KS', '088350.KS', '323410.KS', '008930.KS']","[0.44745119806412476, 0.38738797792387997, 0.3866556162654003, 0.3785829825605059, 0.3769343327012154]","['383220.KS', '012510.KS', '030200.KS', '207940.KS', '090430.KS']","[-0.15425823830752947, -0.15145842000266935, -0.12501719414782383, -0.08618501394994274, -0.07726485626087383]"
280360.KS,"['007310.KS', '005490.KS', '020150.KS', '097950.KS', '004020.KS']","[0.6554524835300877, 0.6432996954498331, 0.6001988915762773, 0.576930966914081, 0.569819555053605]","['009450.KS', '003690.KS', '272210.KS', '010130.KS', '267260.KS']","[-0.2561446974068586, -0.22588260464206944, -0.22079536285026616, -0.21967099801605416, -0.20652509853651022]"
282330.KS,"['007310.KS', '097950.KS', '001800.KS', '002790.KS', '280360.KS']","[0.5603952672221567, 0.5314988169785038, 0.5304105096351003, 0.5133628668406471, 0.4830115474106744]","['010130.KS', '042660.KS', '009450.KS', '009420.KS', '329180.KS']","[-0.23751271358819093, -0.11544809674325111, -0.09506193221646148, -0.0777046225983718, -0.03312006883516762]"
294870.KS,"['012630.KS', '375500.KS', '006360.KS', '000120.KS', '047040.KS']","[0.558418703386751, 0.514501861190385, 0.47937448536725447, 0.4163626736565132, 0.3935348035511984]","['005070.KS', '066970.KS', '051910.KS', '073240.KS', '081660.KS']","[-0.2778020439736658, -0.25602306767251026, -0.2288681975369522, -0.20282762634984283, -0.20272437618218134]"
298020.KS,"['051900.KS', '011170.KS', '004020.KS', '028670.KS', '020150.KS']","[0.599761388362212, 0.5904998794493607, 0.5141991343879301, 0.4949991892206383, 0.467282577749335]","['017670.KS', '032640.KS', '000810.KS', '017960.KS', '029780.KS']","[-0.31048930801719005, -0.2992015759874426, -0.243410126139483, -0.24302124657816446, -0.2379308312473713]"
298040.KS,"['103590.KS', '062040.KS', '006260.KS', '010120.KS', '298020.KS']","[0.588884995045891, 0.5680970473918456, 0.43305399969862035, 0.4292399161605518, 0.4273817866125215]","['139480.KS', '036460.KS', '030200.KS', '010620.KS', '000810.KS']","[-0.23553592561569872, -0.22581725459348492, -0.22255117733776064, -0.22079216574470326, -0.21931895819074607]"
300720.KS,"['007070.KS', '016360.KS', '282330.KS', '017800.KS', '241560.KS']","[0.4844464371356372, 0.40737362956697537, 0.3988700611052476, 0.36629234262221066, 0.34860369700954913]","['012510.KS', '089860.KS', '259960.KS', '377300.KS', '035720.KS']","[-0.23194811684637456, -0.2078235010252448, -0.17852533469574985, -0.16656715902272073, -0.1635480616916665]"
302440.KS,"['090430.KS', '009150.KS', '096770.KS', '002790.KS', '282330.KS']","[0.549764438531605, 0.5371835106402837, 0.5221420969955388, 0.5180932281697669, 0.4689859526193279]","['010130.KS', '047810.KS', '042660.KS', '272210.KS', '454910.KS']","[-0.2240630171617642, -0.14445529510301117, -0.1266209585737961, -0.08452996826371859, -0.03634651997460693]"
307950.KS,"['016360.KS', '402340.KS', '071050.KS', '003550.KS', '018260.KS']","[0.5539038874390639, 0.549375789264706, 0.46312662607890837, 0.46178289492250524, 0.4561378835611419]","['139480.KS', '026960.KS', '051910.KS', '298020.KS', '011170.KS']","[-0.22729157278152107, -0.1453268687768601, -0.14048646882053248, -0.10510978301297329, -0.09490820801157077]"
316140.KS,"['086790.KS', '055550.KS', '139130.KS', '024110.KS', '071050.KS']","[0.7516314899314728, 0.7494240076532245, 0.7393906735058821, 0.7093111819207188, 0.6705855061111782]","['259960.KS', '017960.KS', '192820.KS', '069620.KS', '000100.KS']","[-0.19937608016962502, -0.11642210172706585, -0.07583395470211679, -0.02058495813423463, 0.0006427407325132398]"
323410.KS,"['377300.KS', '035720.KS', '071050.KS', '018260.KS', '016360.KS']","[0.8005737937158829, 0.7202693277428995, 0.6585799648236357, 0.5400045504894085, 0.5304046933122482]","['036460.KS', '081660.KS', '300720.KS', '009450.KS', '443060.KS']","[-0.22944054491558555, -0.1574424804736662, -0.11093013821249702, -0.09177584265798523, -0.06798537958420123]"
326030.KS,"['207940.KS', '000100.KS', '009420.KS', '006280.KS', '069620.KS']","[0.621805727370538, 0.5986410683804767, 0.5724162702659052, 0.4880725785044797, 0.47437583377952725]","['047810.KS', '192820.KS', '011170.KS', '051910.KS', '373220.KS']","[-0.3397642638419082, -0.20081740153165534, -0.1943479892387397, -0.1808327135844998, -0.15963550017487363]"
329180.KS,"['009540.KS', '042660.KS', '082740.KS', '010620.KS', '071970.KS']","[0.7345639876146192, 0.6689904851003644, 0.6353222440417712, 0.6186884298082078, 0.563277203282667]","['069960.KS', '026960.KS', '089860.KS', '008770.KS', '111770.KS']","[-0.4251255633409418, -0.3868058465323734, -0.35247126709396537, -0.33811874327970665, -0.25675956046564796]"
330590.KS,"['395400.KS', '011210.KS', '001450.KS', '005850.KS', '185750.KS']","[0.6332881146325661, 0.4926295117439256, 0.4383148744365992, 0.4316787416284254, 0.42992894134119614]","['010130.KS', '012510.KS', '035420.KS', '062040.KS', '298040.KS']","[-0.32697591320096736, -0.17020361241312584, -0.13742762698584074, -0.09720266710252601, -0.08091931786577974]"
352820.KS,"['008770.KS', '052690.KS', '330590.KS', '034230.KS', '294870.KS']","[0.4355197505805063, 0.3983114176186864, 0.3714950065481779, 0.3586075184750073, 0.33615176168262173]","['007340.KS', '051910.KS', '073240.KS', '280360.KS', '010130.KS']","[-0.28712062517705206, -0.24290395793052147, -0.1801902830409267, -0.17324811054650843, -0.14609619668199644]"
361610.KS,"['005070.KS', '003670.KS', '096770.KS', '450080.KS', '020150.KS']","[0.7811416682376009, 0.7722878483748367, 0.7151682328056864, 0.7138801055437662, 0.6942114818961449]","['443060.KS', '267260.KS', '042660.KS', '010130.KS', '329180.KS']","[-0.21926228294900235, -0.21241301951235758, -0.21116687002019044, -0.21095249543783398, -0.19036294252425956]"
373220.KS,"['051910.KS', '006400.KS', '066970.KS', '096770.KS', '003670.KS']","[0.6783801597679632, 0.6624438594248183, 0.6457832548306635, 0.6222733174612257, 0.6047638550388219]","['375500.KS', '111770.KS', '012630.KS', '294870.KS', '326030.KS']","[-0.29746120202897514, -0.22798494132571648, -0.20157116680265966, -0.17151693126689715, -0.15963550017487363]"
375500.KS,"['015760.KS', '294870.KS', '006360.KS', '016360.KS', '000720.KS']","[0.5586314567476899, 0.514501861190385, 0.5018265415332376, 0.4721319294060996, 0.4232048076897095]","['373220.KS', '051910.KS', '204320.KS', '066970.KS', '005070.KS']","[-0.29746120202897514, -0.22980422492194988, -0.19066790575578857, -0.16769235260183651, -0.15688115333507163]"
377300.KS,"['323410.KS', '035720.KS', '103140.KS', '071050.KS', '089860.KS']","[0.8005737937158829, 0.7491020795097215, 0.47098459927144226, 0.449315331987698, 0.39207502127433574]","['003490.KS', '036460.KS', '009450.KS', '010620.KS', '300720.KS']","[-0.22710316605706612, -0.18485552334540772, -0.18071234807380984, -0.17036574555005118, -0.16656715902272073]"
383220.KS,"['004170.KS', '090430.KS', '011780.KS', '002790.KS', '008770.KS']","[0.5930623676109701, 0.5799726106745869, 0.5651731066414682, 0.5479395274758772, 0.5007411226538065]","['010130.KS', '329180.KS', '042660.KS', '082740.KS', '278470.KS']","[-0.28262774539485225, -0.22531401593520864, -0.1815578283850672, -0.1783921190468638, -0.15425823830752947]"
395400.KS,"['330590.KS', '081660.KS', '020560.KS', '005935.KS', '036460.KS']","[0.6332881146325661, 0.48017644443095286, 0.4497003920116156, 0.44304155175159826, 0.431272459184077]","['017800.KS', '051600.KS', '103140.KS', '298040.KS', '010130.KS']","[-0.29449368642031665, -0.2599487315349228, -0.2281084835850005, -0.19571909014976896, -0.17772186248004476]"
402340.KS,"['000660.KS', '042700.KS', '071050.KS', '034730.KS', '006800.KS']","[0.8863609911054875, 0.6555953720842559, 0.6470224377753053, 0.6264595283380641, 0.5964100987133534]","['030200.KS', '139480.KS', '012510.KS', '012630.KS', '023530.KS']","[-0.10752596410841382, -0.09661013989941779, -0.04814135666195444, -0.045305379269328365, -0.03793290997537355]"
443060.KS,"['071970.KS', '082740.KS', '009540.KS', '329180.KS', '010140.KS']","[0.5506257558349987, 0.525827452598087, 0.5032203645805419, 0.4789797570296645, 0.41385404313463603]","['457190.KS', '111770.KS', '005070.KS', '361610.KS', '005930.KS']","[-0.36632115203273247, -0.24517593315139916, -0.22068499791519458, -0.21926228294900235, -0.21352460883609425]"
450080.KS,"['005070.KS', '361610.KS', '022100.KS', '066970.KS', '003670.KS']","[0.7545531665432289, 0.7138801055437662, 0.7062245293841511, 0.6979932620992506, 0.6965529032993808]","['294870.KS', '267260.KS', '443060.KS', '272210.KS', '010130.KS']","[-0.19196647088977656, -0.16713591098481867, -0.1578059625340555, -0.11432059851667888, -0.1025906117180988]"
454910.KS,"['015760.KS', '086280.KS', '016360.KS', '042700.KS', '307950.KS']","[0.48542272293689886, 0.43736229852554065, 0.4285555008981545, 0.42663920346211515, 0.38993737838864356]","['139480.KS', '082740.KS', '042660.KS', '068270.KS', '017800.KS']","[-0.15572487543226182, -0.11898110700520255, -0.11665360039667552, -0.109455538587719, -0.09622642898028178]"
457190.KS,"['450080.KS', '361610.KS', '005070.KS', '003670.KS', '000990.KS']","[0.6716082827846495, 0.6154381382966104, 0.5135681301493332, 0.5105915949161126, 0.4621304020910074]","['443060.KS', '267260.KS', '012510.KS', '175330.KS', '103590.KS']","[-0.36632115203273247, -0.2121527191530718, -0.2076910784843406, -0.12217720809686906, -0.11884032969174856]"
462870.KS,"['006040.KS', '026960.KS', '073240.KS', '004370.KS', '006280.KS']","[0.5014109994255069, 0.423829879047397, 0.4046916307134065, 0.3917314037754479, 0.38322630395829305]","['000150.KS', '051900.KS', '017960.KS', '272210.KS', '298040.KS']","[-0.12147933196193647, -0.11417894279191126, -0.10646134247459109, -0.07723538089427266, -0.06710070371352017]"
